job,marital,default,housing,loan,prev_outcome,outcome
housemaid,married,no,no,no,nonexistent,no
services,married,unknown,no,no,nonexistent,no
services,married,no,yes,no,nonexistent,no
admin.,married,no,no,no,nonexistent,no
services,married,no,no,yes,nonexistent,no
services,married,unknown,no,no,nonexistent,no
admin.,married,no,no,no,nonexistent,no
blue-collar,married,unknown,no,no,nonexistent,no
technician,single,no,yes,no,nonexistent,no
services,single,no,yes,no,nonexistent,no
blue-collar,married,unknown,no,no,nonexistent,no
services,single,no,yes,no,nonexistent,no
blue-collar,single,no,no,yes,nonexistent,no
housemaid,divorced,no,yes,no,nonexistent,no
blue-collar,married,no,yes,no,nonexistent,no
retired,married,unknown,yes,yes,nonexistent,no
blue-collar,married,no,yes,no,nonexistent,no
blue-collar,married,unknown,yes,yes,nonexistent,no
blue-collar,married,no,yes,yes,nonexistent,no
management,single,unknown,no,no,nonexistent,no
unemployed,married,no,no,no,nonexistent,no
blue-collar,married,unknown,yes,no,nonexistent,no
retired,single,no,yes,no,nonexistent,no
technician,single,no,yes,no,nonexistent,no
admin.,married,no,yes,no,nonexistent,no
technician,married,no,no,yes,nonexistent,no
technician,married,no,yes,no,nonexistent,no
self-employed,married,unknown,no,no,nonexistent,no
technician,single,unknown,no,no,nonexistent,no
unknown,married,unknown,unknown,unknown,nonexistent,no
admin.,married,no,no,no,nonexistent,no
technician,married,no,yes,no,nonexistent,no
blue-collar,married,no,no,no,nonexistent,no
management,married,unknown,yes,no,nonexistent,no
blue-collar,divorced,no,no,no,nonexistent,no
unknown,married,unknown,yes,no,nonexistent,no
services,married,no,no,no,nonexistent,no
technician,married,no,yes,no,nonexistent,no
admin.,married,no,yes,no,nonexistent,no
technician,married,no,yes,no,nonexistent,no
management,unknown,no,yes,no,nonexistent,no
entrepreneur,married,no,yes,no,nonexistent,no
admin.,single,no,no,no,nonexistent,no
admin.,married,no,no,yes,nonexistent,no
admin.,married,unknown,yes,no,nonexistent,no
technician,single,unknown,no,no,nonexistent,no
admin.,married,no,yes,yes,nonexistent,no
blue-collar,married,no,no,yes,nonexistent,no
admin.,married,no,yes,no,nonexistent,no
blue-collar,married,no,yes,no,nonexistent,no
admin.,married,no,no,no,nonexistent,no
housemaid,married,no,no,yes,nonexistent,no
admin.,married,no,no,no,nonexistent,no
admin.,single,no,no,no,nonexistent,no
blue-collar,married,unknown,no,no,nonexistent,no
technician,married,unknown,yes,no,nonexistent,no
management,married,unknown,no,yes,nonexistent,no
services,married,unknown,yes,no,nonexistent,no
unemployed,married,unknown,yes,yes,nonexistent,no
technician,single,no,yes,no,nonexistent,no
entrepreneur,married,unknown,no,no,nonexistent,no
blue-collar,married,no,yes,no,nonexistent,no
blue-collar,married,unknown,yes,no,nonexistent,no
blue-collar,married,unknown,no,no,nonexistent,no
admin.,married,no,no,no,nonexistent,no
admin.,married,no,no,no,nonexistent,no
blue-collar,single,no,yes,no,nonexistent,no
admin.,married,no,yes,no,nonexistent,no
admin.,married,no,yes,no,nonexistent,no
blue-collar,single,unknown,yes,yes,nonexistent,no
management,married,no,no,no,nonexistent,no
management,divorced,no,yes,no,nonexistent,no
admin.,married,unknown,yes,no,nonexistent,no
unknown,married,unknown,no,no,nonexistent,no
admin.,married,unknown,yes,no,nonexistent,no
blue-collar,divorced,unknown,yes,no,nonexistent,yes
technician,married,no,no,no,nonexistent,no
services,married,unknown,yes,no,nonexistent,no
management,married,unknown,yes,no,nonexistent,no
blue-collar,married,unknown,no,no,nonexistent,no
blue-collar,married,unknown,yes,no,nonexistent,no
blue-collar,married,unknown,unknown,unknown,nonexistent,no
admin.,married,unknown,no,no,nonexistent,no
entrepreneur,married,unknown,yes,no,nonexistent,yes
technician,single,no,no,yes,nonexistent,no
admin.,divorced,no,no,no,nonexistent,no
management,married,no,no,no,nonexistent,no
admin.,married,no,yes,yes,nonexistent,no
technician,married,no,no,no,nonexistent,yes
admin.,married,no,yes,no,nonexistent,no
admin.,married,no,yes,no,nonexistent,no
unknown,married,unknown,yes,no,nonexistent,no
admin.,married,unknown,no,yes,nonexistent,no
unemployed,married,no,no,no,nonexistent,no
blue-collar,married,no,no,yes,nonexistent,no
services,married,no,yes,no,nonexistent,no
management,married,no,no,no,nonexistent,no
admin.,divorced,unknown,no,no,nonexistent,no
technician,single,no,no,no,nonexistent,no
blue-collar,married,no,no,no,nonexistent,no
services,married,no,yes,no,nonexistent,no
blue-collar,married,no,no,no,nonexistent,no
services,married,no,no,no,nonexistent,no
admin.,divorced,no,no,no,nonexistent,no
admin.,divorced,no,no,no,nonexistent,no
services,single,unknown,no,no,nonexistent,no
housemaid,married,no,yes,no,nonexistent,no
admin.,married,no,yes,no,nonexistent,no
entrepreneur,married,unknown,yes,no,nonexistent,no
technician,married,unknown,yes,yes,nonexistent,no
retired,divorced,unknown,no,no,nonexistent,no
unemployed,married,unknown,no,no,nonexistent,no
services,divorced,no,yes,no,nonexistent,no
blue-collar,married,unknown,yes,no,nonexistent,no
management,married,no,no,no,nonexistent,no
blue-collar,married,no,no,no,nonexistent,no
admin.,divorced,no,no,no,nonexistent,no
blue-collar,divorced,unknown,yes,no,nonexistent,no
admin.,married,no,yes,no,nonexistent,no
blue-collar,divorced,unknown,yes,no,nonexistent,no
blue-collar,married,unknown,yes,no,nonexistent,no
blue-collar,divorced,no,no,no,nonexistent,no
services,married,no,no,no,nonexistent,no
technician,married,no,yes,no,nonexistent,no
admin.,married,no,yes,yes,nonexistent,no
admin.,married,no,no,yes,nonexistent,no
admin.,married,no,no,no,nonexistent,no
technician,divorced,no,yes,yes,nonexistent,no
retired,married,no,yes,no,nonexistent,no
technician,married,unknown,yes,no,nonexistent,yes
blue-collar,married,no,yes,yes,nonexistent,no
technician,married,unknown,no,no,nonexistent,no
blue-collar,married,no,yes,no,nonexistent,no
blue-collar,married,no,yes,no,nonexistent,no
management,married,no,no,no,nonexistent,no
management,divorced,no,no,no,nonexistent,no
housemaid,married,unknown,no,no,nonexistent,no
blue-collar,married,unknown,no,no,nonexistent,no
services,married,no,yes,no,nonexistent,no
blue-collar,married,unknown,yes,no,nonexistent,yes
unemployed,single,no,yes,no,nonexistent,no
management,married,no,yes,no,nonexistent,no
management,married,no,yes,no,nonexistent,no
blue-collar,married,no,yes,no,nonexistent,no
unknown,divorced,unknown,yes,no,nonexistent,no
blue-collar,married,unknown,yes,no,nonexistent,no
blue-collar,married,unknown,no,no,nonexistent,no
admin.,single,no,yes,no,nonexistent,no
admin.,married,unknown,yes,no,nonexistent,no
blue-collar,married,no,yes,no,nonexistent,no
blue-collar,married,unknown,no,no,nonexistent,no
entrepreneur,married,unknown,yes,no,nonexistent,no
services,divorced,unknown,yes,no,nonexistent,no
entrepreneur,married,unknown,no,no,nonexistent,no
blue-collar,married,no,yes,yes,nonexistent,no
blue-collar,married,no,yes,yes,nonexistent,no
blue-collar,married,unknown,yes,no,nonexistent,no
blue-collar,married,unknown,no,no,nonexistent,no
technician,single,no,yes,no,nonexistent,no
services,married,no,no,no,nonexistent,no
management,single,no,yes,no,nonexistent,no
blue-collar,single,unknown,yes,yes,nonexistent,no
blue-collar,married,unknown,no,no,nonexistent,no
blue-collar,married,unknown,no,no,nonexistent,no
services,divorced,unknown,no,no,nonexistent,no
entrepreneur,married,no,no,no,nonexistent,no
services,married,no,yes,yes,nonexistent,no
admin.,divorced,unknown,no,no,nonexistent,no
blue-collar,married,no,no,no,nonexistent,no
management,divorced,no,yes,no,nonexistent,no
blue-collar,married,unknown,no,yes,nonexistent,no
services,married,unknown,no,no,nonexistent,no
technician,married,no,yes,yes,nonexistent,no
admin.,single,unknown,no,no,nonexistent,no
services,married,no,no,no,nonexistent,no
management,married,no,no,no,nonexistent,no
